t_start,t_end,midpoint,label,total_size,n_settlements
1250.0,1350.0,1300.0,700-600 BP,1613000.0,381
1350.0,1450.0,1400.0,600-500 BP,1478000.0,388
1450.0,1525.0,1487.5,500-425 BP,2209000.0,391
1525.0,1575.0,1550.0,425-375 BP,2398000.0,392
1575.0,1625.0,1600.0,375-325 BP,2916000.0,396
1625.0,1675.0,1650.0,325-275 BP,3143000.0,397
