t_start,t_end,midpoint,label,total_size,n_settlements,urban_1000,n_urban_1000,percent_1000,urban_2000,n_urban_2000,percent_2000
1250.0,1350.0,1300.0,700-600 BP,1613000.0,381,1613000.0,381,100.0,1509000.0,277,93.55238685678859
1350.0,1450.0,1400.0,600-500 BP,1478000.0,388,1478000.0,388,100.0,1284000.0,194,86.87415426251691
1450.0,1525.0,1487.5,500-425 BP,2209000.0,391,2209000.0,391,100.0,2120000.0,302,95.97102761430511
1525.0,1575.0,1550.0,425-375 BP,2398000.0,392,2398000.0,392,100.0,2327000.0,321,97.03919933277732
1575.0,1625.0,1600.0,375-325 BP,2916000.0,396,2916000.0,396,100.0,2874000.0,354,98.559670781893
1625.0,1675.0,1650.0,325-275 BP,3143000.0,397,3143000.0,397,100.0,3105000.0,359,98.79096404708876
