t_start,t_end,midpoint,label,median,mean,max,min,n,q10,q90
1250.0,1350.0,1300.0,700-600 BP,2000.0,4233.595800524934,64000.0,1000.0,381,1000.0,10000.0
1350.0,1450.0,1400.0,600-500 BP,1500.0,3809.278350515464,64000.0,1000.0,388,1000.0,8000.0
1450.0,1525.0,1487.5,500-425 BP,3000.0,5649.616368286445,50000.0,1000.0,391,1000.0,12000.0
1525.0,1575.0,1550.0,425-375 BP,3000.0,6117.34693877551,54000.0,1000.0,392,1000.0,13000.0
1575.0,1625.0,1600.0,375-325 BP,4000.0,7363.636363636364,80000.0,1000.0,396,1000.0,18000.0
1625.0,1675.0,1650.0,325-275 BP,4000.0,7916.8765743073045,104000.0,1000.0,397,2000.0,18000.0
